experiment,valid_start,valid_end,n_features,train_n,p_at_r70,average_precision,roc_auc,recall_at_fpr01,n,positives,prevalence
cat_extended_no_client,2026-04-13,2026-04-15,169.0,5930.0,0.6041666666666666,0.7171669190087535,0.9136402360142618,0.5447154471544715,1669,123,0.07369682444577591
cat_extended_no_client,2026-04-15,2026-04-17,169.0,7599.0,0.6929133858267716,0.755136147919865,0.9357853107344632,0.512,1541,125,0.08111615833874107
cat_extended_weight3,2026-04-13,2026-04-15,191.0,5930.0,0.6027397260273972,0.7238563929506763,0.9229325087558767,0.5447154471544715,1669,123,0.07369682444577591
cat_extended_weight3,2026-04-15,2026-04-17,191.0,7599.0,0.6717557251908397,0.7544027908398979,0.9328418079096046,0.488,1541,125,0.08111615833874107
cat_extended_d4,2026-04-13,2026-04-15,191.0,5930.0,0.5612903225806452,0.7185696062851258,0.9147866511006636,0.5853658536585366,1669,123,0.07369682444577591
cat_extended_d4,2026-04-15,2026-04-17,191.0,7599.0,0.676923076923077,0.7604422179429259,0.9316666666666666,0.544,1541,125,0.08111615833874107
cat_no_timing,2026-04-13,2026-04-15,111.0,5930.0,0.33584905660377357,0.6517806227202708,0.8906277937294249,0.5121951219512195,1669,123,0.07369682444577591
cat_no_timing,2026-04-15,2026-04-17,111.0,7599.0,0.4888888888888889,0.6648492988155484,0.9047966101694915,0.416,1541,125,0.08111615833874107
cat_original_seed137,2026-04-13,2026-04-15,160.0,5930.0,0.5403726708074534,0.7174084405091905,0.9113842173350583,0.5121951219512195,1669,123,0.07369682444577591
cat_original_seed137,2026-04-15,2026-04-17,160.0,7599.0,0.6929133858267716,0.7622157993565292,0.9316214689265536,0.512,1541,125,0.08111615833874107
cat_original_seed2026,2026-04-13,2026-04-15,160.0,5930.0,0.5209580838323353,0.7204031946618732,0.9130670284710608,0.5447154471544715,1669,123,0.07369682444577591
cat_original_seed2026,2026-04-15,2026-04-17,160.0,7599.0,0.6846153846153846,0.7593339020999402,0.9255988700564972,0.528,1541,125,0.08111615833874107
cat_behavior_seed137,2026-04-13,2026-04-15,169.0,5930.0,0.5403726708074534,0.7172497021205864,0.9170847400582673,0.5528455284552846,1669,123,0.07369682444577591
cat_behavior_seed137,2026-04-15,2026-04-17,169.0,7599.0,0.6691729323308271,0.75384248816319,0.9354406779661015,0.512,1541,125,0.08111615833874107
cat_behavior_seed2026,2026-04-13,2026-04-15,169.0,5930.0,0.5878378378378378,0.7201157358468934,0.916327475047066,0.5528455284552846,1669,123,0.07369682444577591
cat_behavior_seed2026,2026-04-15,2026-04-17,169.0,7599.0,0.6470588235294118,0.7578813077285766,0.9338474576271186,0.528,1541,125,0.08111615833874107
original_3seeds,2026-04-13,,,,0.5576923076923077,0.7226137330291167,0.9138085171278622,0.5365853658536586,1669,123,0.07369682444577591
original_3seeds,2026-04-15,,,,0.704,0.766711632678867,0.9303389830508475,0.52,1541,125,0.08111615833874107
behavior_3seeds,2026-04-13,,,,0.5668789808917197,0.7201247642081516,0.9167797305398668,0.5528455284552846,1669,123,0.07369682444577591
behavior_3seeds,2026-04-15,,,,0.6742424242424242,0.758069126798759,0.9355536723163842,0.512,1541,125,0.08111615833874107
blend_two_3seeds,2026-04-13,,,,0.5576923076923077,0.7244911185087551,0.9161591939334658,0.5528455284552846,1669,123,0.07369682444577591
blend_two_3seeds,2026-04-15,,,,0.676923076923077,0.7641617989654537,0.9338700564971751,0.512,1541,125,0.08111615833874107
blend_cat_hist,2026-04-13,,,,0.5723684210526315,0.724361679587005,0.9126252905478602,0.5284552845528455,1669,123,0.07369682444577591
blend_cat_hist,2026-04-15,,,,0.6875,0.761641870449524,0.932005649717514,0.504,1541,125,0.08111615833874107
